"codigo","chave","nome","categoria","familia","classes","nivel_item","atributos","requisitos","descricao","loja_oficial","marketplace","motivo_comercial"
"1538","3-2","Dragon Lance","Lanças","Arma","Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial)","15","dano 21-33, velocidade de ataque 30, durabilidade 34","força 70, agilidade 50","Dragon Lance é um item da família arma, catalogado em Lanças. A configuração atual registra dano 21-33, velocidade de ataque 30, durabilidade 34. Requisitos: força 70, agilidade 50. Uso permitido: Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"1539","3-3","Giant Trident","Lanças","Arma","Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial)","29","dano 35-43, velocidade de ataque 25, durabilidade 44","força 90, agilidade 30","Giant Trident é um item da família arma, catalogado em Lanças. A configuração atual registra dano 35-43, velocidade de ataque 25, durabilidade 44. Requisitos: força 90, agilidade 30. Uso permitido: Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"1540","3-4","Serpent Spear","Lanças","Arma","Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial)","46","dano 58-80, velocidade de ataque 20, durabilidade 58","força 90, agilidade 30","Serpent Spear é um item da família arma, catalogado em Lanças. A configuração atual registra dano 58-80, velocidade de ataque 20, durabilidade 58. Requisitos: força 90, agilidade 30. Uso permitido: Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"1541","3-5","Double Poleaxe","Lanças","Arma","Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial)","13","dano 19-31, velocidade de ataque 30, durabilidade 38","força 70, agilidade 50","Double Poleaxe é um item da família arma, catalogado em Lanças. A configuração atual registra dano 19-31, velocidade de ataque 30, durabilidade 38. Requisitos: força 70, agilidade 50. Uso permitido: Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"1542","3-6","Halberd","Lanças","Arma","Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial)","19","dano 25-35, velocidade de ataque 30, durabilidade 40","força 70, agilidade 50","Halberd é um item da família arma, catalogado em Lanças. A configuração atual registra dano 25-35, velocidade de ataque 30, durabilidade 40. Requisitos: força 70, agilidade 50. Uso permitido: Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"1543","3-7","Berdysh","Lanças","Arma","Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial)","37","dano 42-54, velocidade de ataque 30, durabilidade 54","força 80, agilidade 50","Berdysh é um item da família arma, catalogado em Lanças. A configuração atual registra dano 42-54, velocidade de ataque 30, durabilidade 54. Requisitos: força 80, agilidade 50. Uso permitido: Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"1544","3-8","Great Scythe","Lanças","Arma","Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial)","54","dano 71-92, velocidade de ataque 25, durabilidade 68","força 90, agilidade 50","Great Scythe é um item da família arma, catalogado em Lanças. A configuração atual registra dano 71-92, velocidade de ataque 25, durabilidade 68. Requisitos: força 90, agilidade 50. Uso permitido: Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"1545","3-9","Bill of Balrog","Lanças","Arma","Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial)","63","dano 76-102, velocidade de ataque 25, durabilidade 74","força 80, agilidade 50","Bill of Balrog é um item da família arma, catalogado em Lanças. A configuração atual registra dano 76-102, velocidade de ataque 25, durabilidade 74. Requisitos: força 80, agilidade 50. Uso permitido: Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"1546","3-10","Dragon Spear","Lanças","Arma","Dark Knight (segunda classe)","92","dano 112-140, velocidade de ataque 35, durabilidade 85","força 170, agilidade 60","Dragon Spear é um item da família arma, catalogado em Lanças. A configuração atual registra dano 112-140, velocidade de ataque 35, durabilidade 85. Requisitos: força 170, agilidade 60. Uso permitido: Dark Knight (segunda classe). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"1547","3-11","Brova","Lanças","Arma","Dark Knight (segunda classe); Magic Gladiator (classe inicial)","147","dano 190-226, velocidade de ataque 40, durabilidade 90","força 152, agilidade 25","Brova é um item da família arma, catalogado em Lanças. A configuração atual registra dano 190-226, velocidade de ataque 40, durabilidade 90. Requisitos: força 152, agilidade 25. Uso permitido: Dark Knight (segunda classe), Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2048","4-0","Short Bow","Arcos e bestas","Arma","Fairy Elf (classe inicial)","2","dano 3-5, velocidade de ataque 30, durabilidade 20","força 20, agilidade 80","Short Bow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 3-5, velocidade de ataque 30, durabilidade 20. Requisitos: força 20, agilidade 80. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2049","4-1","Bow","Arcos e bestas","Arma","Fairy Elf (classe inicial)","8","dano 9-13, velocidade de ataque 30, durabilidade 24","força 30, agilidade 90","Bow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 9-13, velocidade de ataque 30, durabilidade 24. Requisitos: força 30, agilidade 90. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2050","4-2","Elven Bow","Arcos e bestas","Arma","Fairy Elf (classe inicial)","16","dano 17-24, velocidade de ataque 30, durabilidade 28","força 30, agilidade 90","Elven Bow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 17-24, velocidade de ataque 30, durabilidade 28. Requisitos: força 30, agilidade 90. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2051","4-3","Battle Bow","Arcos e bestas","Arma","Fairy Elf (classe inicial)","26","dano 28-37, velocidade de ataque 30, durabilidade 36","força 30, agilidade 90","Battle Bow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 28-37, velocidade de ataque 30, durabilidade 36. Requisitos: força 30, agilidade 90. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2052","4-4","Tiger Bow","Arcos e bestas","Arma","Fairy Elf (classe inicial)","40","dano 42-52, velocidade de ataque 30, durabilidade 43","força 30, agilidade 100","Tiger Bow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 42-52, velocidade de ataque 30, durabilidade 43. Requisitos: força 30, agilidade 100. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2053","4-5","Silver Bow","Arcos e bestas","Arma","Fairy Elf (classe inicial)","56","dano 59-71, velocidade de ataque 40, durabilidade 48","força 30, agilidade 100","Silver Bow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 59-71, velocidade de ataque 40, durabilidade 48. Requisitos: força 30, agilidade 100. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2054","4-6","Chaos Nature Bow","Arcos e bestas","Arma","Fairy Elf (classe inicial)","75","dano 88-106, velocidade de ataque 35, durabilidade 68","força 40, agilidade 150","Chaos Nature Bow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 88-106, velocidade de ataque 35, durabilidade 68. Requisitos: força 40, agilidade 150. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2055","4-7","Bolt","Arcos e bestas","Arma","Fairy Elf (classe inicial)","0","durabilidade 255","sem requisito numérico registrado","Bolt é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra durabilidade 255. Requisitos: sem requisito numérico registrado. Uso permitido: Fairy Elf (classe inicial). Ocupa 1x1 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2056","4-8","Crossbow","Arcos e bestas","Arma","Fairy Elf (classe inicial)","4","dano 5-8, velocidade de ataque 40, durabilidade 22","força 20, agilidade 90","Crossbow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 5-8, velocidade de ataque 40, durabilidade 22. Requisitos: força 20, agilidade 90. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2057","4-9","Golden Crossbow","Arcos e bestas","Arma","Fairy Elf (classe inicial)","12","dano 13-19, velocidade de ataque 40, durabilidade 26","força 30, agilidade 90","Golden Crossbow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 13-19, velocidade de ataque 40, durabilidade 26. Requisitos: força 30, agilidade 90. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2058","4-10","Arquebus","Arcos e bestas","Arma","Fairy Elf (classe inicial)","20","dano 22-30, velocidade de ataque 40, durabilidade 31","força 30, agilidade 90","Arquebus é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 22-30, velocidade de ataque 40, durabilidade 31. Requisitos: força 30, agilidade 90. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2059","4-11","Light Crossbow","Arcos e bestas","Arma","Fairy Elf (classe inicial)","32","dano 35-44, velocidade de ataque 40, durabilidade 40","força 30, agilidade 90","Light Crossbow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 35-44, velocidade de ataque 40, durabilidade 40. Requisitos: força 30, agilidade 90. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2060","4-12","Serpent Crossbow","Arcos e bestas","Arma","Fairy Elf (classe inicial)","48","dano 50-61, velocidade de ataque 40, durabilidade 45","força 30, agilidade 100","Serpent Crossbow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 50-61, velocidade de ataque 40, durabilidade 45. Requisitos: força 30, agilidade 100. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2061","4-13","Bluewing Crossbow","Arcos e bestas","Arma","Fairy Elf (classe inicial)","68","dano 68-82, velocidade de ataque 40, durabilidade 56","força 40, agilidade 110","Bluewing Crossbow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 68-82, velocidade de ataque 40, durabilidade 56. Requisitos: força 40, agilidade 110. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2062","4-14","Aquagold Crossbow","Arcos e bestas","Arma","Fairy Elf (classe inicial)","72","dano 78-92, velocidade de ataque 30, durabilidade 60","força 50, agilidade 130","Aquagold Crossbow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 78-92, velocidade de ataque 30, durabilidade 60. Requisitos: força 50, agilidade 130. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2063","4-15","Arrow","Arcos e bestas","Arma","Fairy Elf (classe inicial)","0","durabilidade 255","sem requisito numérico registrado","Arrow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra durabilidade 255. Requisitos: sem requisito numérico registrado. Uso permitido: Fairy Elf (classe inicial). Ocupa 1x1 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2064","4-16","Saint Crossbow","Arcos e bestas","Arma","Fairy Elf (classe inicial)","84","dano 102-127, velocidade de ataque 35, durabilidade 72","força 50, agilidade 160","Saint Crossbow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 102-127, velocidade de ataque 35, durabilidade 72. Requisitos: força 50, agilidade 160. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2065","4-17","Celestial Bow","Arcos e bestas","Arma","Fairy Elf (segunda classe)","92","dano 127-155, velocidade de ataque 35, durabilidade 76","força 54, agilidade 198","Celestial Bow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 127-155, velocidade de ataque 35, durabilidade 76. Requisitos: força 54, agilidade 198. Uso permitido: Fairy Elf (segunda classe). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2066","4-18","Divine Crossbow of Archangel","Arcos e bestas","Arma","Fairy Elf (classe inicial)","100","dano 224-246, velocidade de ataque 45, durabilidade 200","força 40, agilidade 110","Divine Crossbow of Archangel é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 224-246, velocidade de ataque 45, durabilidade 200. Requisitos: força 40, agilidade 110. Uso permitido: Fairy Elf (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2067","4-19","Great Reign Crossbow","Arcos e bestas","Arma","Fairy Elf (segunda classe)","100","dano 150-172, velocidade de ataque 40, durabilidade 80","força 61, agilidade 285","Great Reign Crossbow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 150-172, velocidade de ataque 40, durabilidade 80. Requisitos: força 61, agilidade 285. Uso permitido: Fairy Elf (segunda classe). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2068","4-20","Arrow Viper Bow","Arcos e bestas","Arma","Fairy Elf (segunda classe)","135","dano 166-190, velocidade de ataque 45, durabilidade 86","força 52, agilidade 245","Arrow Viper Bow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 166-190, velocidade de ataque 45, durabilidade 86. Requisitos: força 52, agilidade 245. Uso permitido: Fairy Elf (segunda classe). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2069","4-21","Sylph Wind Bow","Arcos e bestas","Arma","Fairy Elf (segunda classe)","147","dano 177-200, velocidade de ataque 45, durabilidade 93","nível 380, força 46, agilidade 210","Sylph Wind Bow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 177-200, velocidade de ataque 45, durabilidade 93. Requisitos: nível 380, força 46, agilidade 210. Uso permitido: Fairy Elf (segunda classe). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2070","4-22","Albatross Bow","Arcos e bestas","Arma","Fairy Elf (segunda classe)","110","dano 155-177, velocidade de ataque 45, durabilidade 70","força 60, agilidade 265","Albatross Bow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 155-177, velocidade de ataque 45, durabilidade 70. Requisitos: força 60, agilidade 265. Uso permitido: Fairy Elf (segunda classe). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2071","4-23","Dark Stinger","Arcos e bestas","Arma","Fairy Elf (segunda classe)","134","dano 162-184, velocidade de ataque 45, durabilidade 80","nível 380, força 32, agilidade 209","Dark Stinger é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 162-184, velocidade de ataque 45, durabilidade 80. Requisitos: nível 380, força 32, agilidade 209. Uso permitido: Fairy Elf (segunda classe). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2072","4-24","Aileen Bow","Arcos e bestas","Arma","Fairy Elf (segunda classe)","147","dano 170-194, velocidade de ataque 45, durabilidade 88","força 49, agilidade 226","Aileen Bow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 170-194, velocidade de ataque 45, durabilidade 88. Requisitos: força 49, agilidade 226. Uso permitido: Fairy Elf (segunda classe). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2148","4-100","BloodMoon Bow","Arcos e bestas","Arma","Fairy Elf (segunda classe)","147","dano 170-194, velocidade de ataque 45, durabilidade 88","força 49, agilidade 226","BloodMoon Bow é um item da família arma, catalogado em Arcos e bestas. A configuração atual registra dano 170-194, velocidade de ataque 45, durabilidade 88. Requisitos: força 49, agilidade 226. Uso permitido: Fairy Elf (segunda classe). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2560","5-0","Skull Staff","Cajados","Arma","Dark Wizard (classe inicial); Magic Gladiator (classe inicial); Summoner (classe inicial)","6","dano 3-4, poder mágico 6, velocidade de ataque 20","força 40","Skull Staff é um item da família arma, catalogado em Cajados. A configuração atual registra dano 3-4, poder mágico 6, velocidade de ataque 20. Requisitos: força 40. Uso permitido: Dark Wizard (classe inicial), Magic Gladiator (classe inicial), Summoner (classe inicial). Ocupa 1x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2561","5-1","Angelic Staff","Cajados","Arma","Dark Wizard (classe inicial); Magic Gladiator (classe inicial)","18","dano 10-12, poder mágico 20, velocidade de ataque 25","força 50","Angelic Staff é um item da família arma, catalogado em Cajados. A configuração atual registra dano 10-12, poder mágico 20, velocidade de ataque 25. Requisitos: força 50. Uso permitido: Dark Wizard (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2562","5-2","Serpent Staff","Cajados","Arma","Dark Wizard (classe inicial); Magic Gladiator (classe inicial)","30","dano 17-18, poder mágico 34, velocidade de ataque 25","força 50","Serpent Staff é um item da família arma, catalogado em Cajados. A configuração atual registra dano 17-18, poder mágico 34, velocidade de ataque 25. Requisitos: força 50. Uso permitido: Dark Wizard (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2563","5-3","Thunder Staff","Cajados","Arma","Dark Wizard (classe inicial); Magic Gladiator (classe inicial)","42","dano 23-25, poder mágico 46, velocidade de ataque 25","força 40, agilidade 10","Thunder Staff é um item da família arma, catalogado em Cajados. A configuração atual registra dano 23-25, poder mágico 46, velocidade de ataque 25. Requisitos: força 40, agilidade 10. Uso permitido: Dark Wizard (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2564","5-4","Gorgon Staff","Cajados","Arma","Dark Wizard (classe inicial); Magic Gladiator (classe inicial)","52","dano 29-32, poder mágico 58, velocidade de ataque 25","força 50","Gorgon Staff é um item da família arma, catalogado em Cajados. A configuração atual registra dano 29-32, poder mágico 58, velocidade de ataque 25. Requisitos: força 50. Uso permitido: Dark Wizard (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2565","5-5","Legendary Staff","Cajados","Arma","Dark Wizard (classe inicial); Magic Gladiator (classe inicial)","59","dano 29-31, poder mágico 59, velocidade de ataque 25","força 50","Legendary Staff é um item da família arma, catalogado em Cajados. A configuração atual registra dano 29-31, poder mágico 59, velocidade de ataque 25. Requisitos: força 50. Uso permitido: Dark Wizard (classe inicial), Magic Gladiator (classe inicial). Ocupa 1x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2566","5-6","Staff of Resurrection","Cajados","Arma","Dark Wizard (classe inicial); Magic Gladiator (classe inicial)","70","dano 35-39, poder mágico 70, velocidade de ataque 25","força 60, agilidade 10","Staff of Resurrection é um item da família arma, catalogado em Cajados. A configuração atual registra dano 35-39, poder mágico 70, velocidade de ataque 25. Requisitos: força 60, agilidade 10. Uso permitido: Dark Wizard (classe inicial), Magic Gladiator (classe inicial). Ocupa 1x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2567","5-7","Chaos Lighting Staff","Cajados","Arma","Dark Wizard (classe inicial); Magic Gladiator (classe inicial)","75","dano 47-48, poder mágico 94, velocidade de ataque 30","força 60, agilidade 10","Chaos Lighting Staff é um item da família arma, catalogado em Cajados. A configuração atual registra dano 47-48, poder mágico 94, velocidade de ataque 30. Requisitos: força 60, agilidade 10. Uso permitido: Dark Wizard (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2568","5-8","Staff of Destruction","Cajados","Arma","Dark Wizard (classe inicial); Magic Gladiator (classe inicial)","90","dano 50-54, poder mágico 101, velocidade de ataque 30","força 60, agilidade 10","Staff of Destruction é um item da família arma, catalogado em Cajados. A configuração atual registra dano 50-54, poder mágico 101, velocidade de ataque 30. Requisitos: força 60, agilidade 10. Uso permitido: Dark Wizard (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2569","5-9","Dragon Soul Staff","Cajados","Arma","Dark Wizard (segunda classe)","100","dano 46-48, poder mágico 92, velocidade de ataque 30","força 52, agilidade 16","Dragon Soul Staff é um item da família arma, catalogado em Cajados. A configuração atual registra dano 46-48, poder mágico 92, velocidade de ataque 30. Requisitos: força 52, agilidade 16. Uso permitido: Dark Wizard (segunda classe). Ocupa 1x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2570","5-10","Divine Staff of Archangel","Cajados","Arma","Dark Wizard (classe inicial); Magic Gladiator (classe inicial)","104","dano 153-165, poder mágico 156, velocidade de ataque 30","força 36, agilidade 4","Divine Staff of Archangel é um item da família arma, catalogado em Cajados. A configuração atual registra dano 153-165, poder mágico 156, velocidade de ataque 30. Requisitos: força 36, agilidade 4. Uso permitido: Dark Wizard (classe inicial), Magic Gladiator (classe inicial). Ocupa 1x4 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
